Date,Calories (kcal),Distance,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Strength training duration (ms)
06/09/15,1007.687988,,,,,,,,,,,,,,,,,,,,
07/09/15,525.5620117,,,,,,,,,,,,,,,,,,,,
09/09/15,1007.687988,,,,,,,,,,,,,,,,,,,,
10/09/15,1533.25,,,,,,,,,,,,,,,,,,,,
11/09/15,1533.25,,,,,,,,,,,,,,,,,,,,
12/09/15,1533.25,,,,,,,,,,,,,,,,,,,,
13/09/15,1533.25,,,,,,,,,,,,,,,,,,,,
14/09/15,1533.25,,,,,,,,,,,,,,,,,,,,
15/09/15,1533.25,,,,,,,,,,,,,,,,,,,,
16/09/15,1533.25,,,,,,,,,,,,,,,,,,,,
17/09/15,1533.25,,,,,,,,,,,,,,,,,,,,
18/09/15,1533.25,,,,,,,,,,,,,,,,,,,,
19/09/15,1533.25,,,,,,,,,,,,,,,,,,,,
20/09/15,1564.493408,82.11375427,,,,19.06854057,72.82814789,19.0687294,72.82836151,,,,1419,73,73,73,,55000418,167303,,
21/09/15,1584.318604,390.2034912,,,,18.92527962,72.80786896,19.07113838,72.83203125,5.709243298,10.12422848,1.25,3465,,,,,71138524,861052,,
22/09/15,1565.261719,327.0020752,,,,19.06851578,72.82813263,19.06916428,72.82836914,,,,2353,,,,,79676873,539741,,
23/09/15,1629.296631,1500.294922,,,,19.04597473,72.82120514,19.07136154,72.82849121,4.839734077,8.5,1.346291184,6324,,,,,70991499,1619412,,
24/09/15,1662.766602,1025.307007,,,,18.91470337,72.80776978,19.06872177,72.82926178,5.821884632,11.76063347,0.5,3107,,,,,69174306,2183737,,
25/09/15,1709.805176,1712.025879,,,,19.05080605,54.64055634,24.43232918,72.87599945,7.112457275,8.050621033,5.75,5688,,,,,55682302,2663724,138242,
26/09/15,1943.96167,4954.188965,,,,37.61389923,-122.4360809,37.80348587,-122.3889084,2.995187521,24.7701931,0.559017003,10874,,,,,31653666,6924880,,
27/09/15,2153.686035,9184.579102,63.4665184,84,47,37.7637558,-122.5134735,37.79231644,-122.4128113,2.395236969,7.25,0.5,16322,,,,,66269029,10457575,,
28/09/15,2359.418213,8414.40332,79.9571991,94,48,37.76371384,-122.487999,37.86013031,-122.3908081,2.236807346,9.5,0.559017003,17703,,,,,61132712,12922658,443784,
