Start time,End time,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Strength training duration (ms)
00:00:00.000-04:00,00:15:00.000-04:00,45.95895004272461,302.072265625,,,,51.04105758666992,-114.14014434814453,51.041500091552734,-114.1390380859375,,,,489,,,,,570378,
00:15:00.000-04:00,00:30:00.000-04:00,31.428085327148438,184.0072021484375,,,,51.04106140136719,-114.13995361328125,51.0413932800293,-114.13893127441406,,,,381,,,,,299637,
00:30:00.000-04:00,00:45:00.000-04:00,21.700214385986328,36.0,,,,51.04112243652344,-114.13948059082031,51.04142379760742,-114.13898468017578,,,,379,,,,434913,118386,
00:45:00.000-04:00,01:00:00.000-04:00,34.85753631591797,102.5098876953125,,,,51.0411262512207,-114.13925170898438,51.041412353515625,-114.13822174072266,0.9524867534637451,1.364880919456482,0.5400926470756531,270,,,,414011,363535,
01:00:00.000-04:00,01:15:00.000-04:00,15.346353530883789,,,,,51.00103759765625,-114.13390350341797,51.03780746459961,-114.11795043945312,11.290063858032227,13.562124252319336,9.020272254943848,,,,,,,
01:15:00.000-04:00,01:30:00.000-04:00,27.71997833251953,64.99689483642578,,,,50.9395866394043,-114.09520721435547,50.96126937866211,-114.06783294677734,10.785011291503906,10.79000473022461,10.780017852783203,251,,,,142667,230547,
01:30:00.000-04:00,01:45:00.000-04:00,20.268226623535156,25.896364212036133,,,,50.94610595703125,-114.06937408447266,50.946224212646484,-114.06909942626953,,,,371,,,,128776,91705,
01:45:00.000-04:00,02:00:00.000-04:00,15.346354484558105,,,,,50.94606018066406,-114.06914520263672,50.94621276855469,-114.06914520263672,,,,141,,,,656244,,
02:00:00.000-04:00,02:15:00.000-04:00,15.346354484558105,,,,,50.945945739746094,-114.0690689086914,50.94636154174805,-114.06895446777344,,,,23,,,,900000,,
02:15:00.000-04:00,02:30:00.000-04:00,15.346354484558105,,,,,50.94615936279297,-114.06903076171875,50.94615936279297,-114.06903076171875,,,,42,,,,900000,,
02:30:00.000-04:00,02:45:00.000-04:00,15.346354484558105,,,,,50.946136474609375,-114.0691146850586,50.94636917114258,-114.06903839111328,,,,55,,,,900000,,
02:45:00.000-04:00,03:00:00.000-04:00,15.346354484558105,,,,,50.946144104003906,-114.06907653808594,50.94636154174805,-114.06905364990234,,,,,,,,900000,,
03:00:00.000-04:00,03:15:00.000-04:00,15.346354484558105,,,,,,,,,,,,,,,,900000,,
03:15:00.000-04:00,03:30:00.000-04:00,15.346354484558105,,,,,50.9461669921875,-114.06905364990234,50.9461669921875,-114.06905364990234,,,,,,,,900000,,
03:30:00.000-04:00,03:45:00.000-04:00,15.346354484558105,,,,,50.94630432128906,-114.06907653808594,50.946353912353516,-114.06904602050781,,,,,,,,900000,,
03:45:00.000-04:00,04:00:00.000-04:00,15.346354484558105,,,,,,,,,,,,,,,,900000,,
04:00:00.000-04:00,04:15:00.000-04:00,15.346354484558105,,,,,,,,,,,,,,,,900000,,
04:15:00.000-04:00,04:30:00.000-04:00,15.346354484558105,,,,,50.94608688354492,-114.06922912597656,50.94640350341797,-114.06905364990234,,,,,,,,900000,,
04:30:00.000-04:00,04:45:00.000-04:00,15.346354484558105,,,,,50.94623565673828,-114.069091796875,50.946407318115234,-114.06897735595703,,,,,,,,900000,,
04:45:00.000-04:00,05:00:00.000-04:00,15.346354484558105,,,,,50.94622802734375,-114.06908416748047,50.94633865356445,-114.06898498535156,,,,,,,,900000,,
05:00:00.000-04:00,05:15:00.000-04:00,15.346354484558105,,,,,50.94609832763672,-114.069091796875,50.946346282958984,-114.06907653808594,,,,,,,,900000,,
05:15:00.000-04:00,05:30:00.000-04:00,15.346354484558105,,,,,50.94614028930664,-114.0691146850586,50.946231842041016,-114.06898498535156,,,,,,,,900000,,
05:30:00.000-04:00,05:45:00.000-04:00,15.346354484558105,,,,,50.94630432128906,-114.06907653808594,50.946346282958984,-114.06900787353516,,,,,,,,900000,,
05:45:00.000-04:00,06:00:00.000-04:00,15.346354484558105,,,,,50.9461784362793,-114.06907653808594,50.9461784362793,-114.06907653808594,,,,,,,,900000,,
06:00:00.000-04:00,06:15:00.000-04:00,15.346354484558105,,,,,50.94630813598633,-114.06905364990234,50.94630813598633,-114.06905364990234,,,,,,,,900000,,
06:15:00.000-04:00,06:30:00.000-04:00,15.346354484558105,,,,,50.946285247802734,-114.0690689086914,50.9463996887207,-114.06900787353516,,,,,,,,900000,,
06:30:00.000-04:00,06:45:00.000-04:00,15.346354484558105,,,,,50.946258544921875,-114.06903076171875,50.9463005065918,-114.06897735595703,,,,,,,,900000,,
06:45:00.000-04:00,07:00:00.000-04:00,15.346354484558105,,,,,50.94622039794922,-114.069091796875,50.946319580078125,-114.06908416748047,,,,,,,,900000,,
07:00:00.000-04:00,07:15:00.000-04:00,15.346354484558105,,,,,50.946136474609375,-114.06909942626953,50.9462890625,-114.06900024414062,,,,,,,,900000,,
07:15:00.000-04:00,07:30:00.000-04:00,15.346354484558105,,,,,50.94622039794922,-114.06907653808594,50.94634246826172,-114.0690689086914,,,,,,,,900000,,
07:30:00.000-04:00,07:45:00.000-04:00,15.346354484558105,,,,,50.946197509765625,-114.06906127929688,50.9468879699707,-114.06732177734375,0.686978816986084,1.0850346088409424,0.5021951794624329,,,,,900000,,
07:45:00.000-04:00,08:00:00.000-04:00,15.346354484558105,,,,,50.94631576538086,-114.06904602050781,50.94631576538086,-114.06904602050781,,,,,,,,900000,,
08:00:00.000-04:00,08:15:00.000-04:00,15.346354484558105,,,,,50.94621658325195,-114.06912994384766,50.946231842041016,-114.06903076171875,,,,,,,,900000,,
08:15:00.000-04:00,08:30:00.000-04:00,15.346354484558105,,,,,50.94624328613281,-114.0690689086914,50.94635009765625,-114.06905364990234,,,,,,,,900000,,
08:30:00.000-04:00,08:45:00.000-04:00,15.346354484558105,,,,,50.946231842041016,-114.06907653808594,50.94633865356445,-114.06903076171875,,,,,,,,900000,,
08:45:00.000-04:00,09:00:00.000-04:00,15.346354484558105,,,,,50.946205139160156,-114.06907653808594,50.94631576538086,-114.06903839111328,,,,,,,,900000,,
09:00:00.000-04:00,09:15:00.000-04:00,15.346354484558105,,,,,50.946163177490234,-114.06908416748047,50.94637680053711,-114.06903076171875,,,,,,,,900000,,
09:15:00.000-04:00,09:30:00.000-04:00,15.346354484558105,,,,,50.94618225097656,-114.06909942626953,50.946327209472656,-114.06905364990234,,,,,,,,900000,,
09:30:00.000-04:00,09:45:00.000-04:00,15.346354484558105,,,,,50.94628143310547,-114.06904602050781,50.94628143310547,-114.06904602050781,,,,,,,,900000,,
09:45:00.000-04:00,10:00:00.000-04:00,15.346354484558105,,,,,50.94629669189453,-114.06910705566406,50.94642639160156,-114.0689926147461,,,,,,,,900000,,
10:00:00.000-04:00,10:15:00.000-04:00,15.346354484558105,,,,,50.9461555480957,-114.0691146850586,50.946258544921875,-114.06909942626953,,,,,,,,900000,,
10:15:00.000-04:00,10:30:00.000-04:00,15.346354484558105,,,,,50.946144104003906,-114.06913757324219,50.94626235961914,-114.06903839111328,,,,,,,,900000,,
10:30:00.000-04:00,10:45:00.000-04:00,15.346354484558105,,,,,50.94608688354492,-114.06914520263672,50.946197509765625,-114.0690689086914,,,,,,,,900000,,
10:45:00.000-04:00,11:00:00.000-04:00,15.346354484558105,,,,,50.94589614868164,-114.0693359375,50.94635772705078,-114.06895446777344,,,,,,,,900000,,
11:00:00.000-04:00,11:15:00.000-04:00,15.346354484558105,,,,,50.945884704589844,-114.06907653808594,50.94621276855469,-114.0689468383789,,,,,,,,900000,,
11:15:00.000-04:00,11:30:00.000-04:00,15.346354484558105,,,,,50.946083068847656,-114.06908416748047,50.94619369506836,-114.06903076171875,,,,,,,,900000,,
11:30:00.000-04:00,11:45:00.000-04:00,15.346354484558105,,,,,50.946048736572266,-114.06904602050781,50.94612121582031,-114.06897735595703,,,,,,,,900000,,
11:45:00.000-04:00,12:00:00.000-04:00,15.346354484558105,,,,,50.94608688354492,-114.0692367553711,50.94623565673828,-114.06910705566406,,,,,,,,900000,,
12:00:00.000-04:00,12:15:00.000-04:00,15.346354484558105,,,,,50.94606399536133,-114.06912231445312,50.946258544921875,-114.06897735595703,,,,,,,,900000,,
12:15:00.000-04:00,12:30:00.000-04:00,15.346354484558105,,,,,50.94572067260742,-114.06904602050781,50.946163177490234,-114.06866455078125,,,,,,,,900000,,
12:30:00.000-04:00,12:45:00.000-04:00,19.923173904418945,16.0,,,,50.946022033691406,-114.06912994384766,50.94607925415039,-114.06902313232422,,,,0,,,,851627,,48373
12:45:00.000-04:00,13:00:00.000-04:00,15.346351623535156,,,,,50.94601821899414,-114.06909942626953,50.94619369506836,-114.06898498535156,,,,,,,,900000,,
13:00:00.000-04:00,13:15:00.000-04:00,15.346351623535156,,,,,50.945987701416016,-114.0691146850586,50.94631576538086,-114.06900024414062,,,,,,,,900000,,
13:15:00.000-04:00,13:30:00.000-04:00,15.346351623535156,,,,,50.946128845214844,-114.06904602050781,50.94636917114258,-114.0689697265625,,,,22,,,,900000,,
13:30:00.000-04:00,13:45:00.000-04:00,15.346351623535156,,,,,50.94599914550781,-114.0691146850586,50.94638442993164,-114.0685806274414,,,,65,,,,900000,,
13:45:00.000-04:00,14:00:00.000-04:00,15.346351623535156,,,,,50.946075439453125,-114.06903076171875,50.94635772705078,-114.06902313232422,,,,31,,,,900000,,
14:00:00.000-04:00,14:15:00.000-04:00,15.346351623535156,,,,,50.94606399536133,-114.06903839111328,50.94627380371094,-114.06895446777344,,,,,,,,900000,,
14:15:00.000-04:00,14:30:00.000-04:00,15.346351623535156,,,,,50.946083068847656,-114.06906127929688,50.94622039794922,-114.06906127929688,,,,33,,,,900000,,
14:30:00.000-04:00,14:45:00.000-04:00,15.346351623535156,,,,,50.94586944580078,-114.06922912597656,50.94599151611328,-114.06902313232422,1.1107203960418701,1.1107203960418701,1.1107203960418701,19,,,,900000,,
14:45:00.000-04:00,15:00:00.000-04:00,15.346351623535156,,,,,50.945945739746094,-114.0694580078125,50.94639205932617,-114.06867980957031,,,,126,,,,900000,,
15:00:00.000-04:00,15:15:00.000-04:00,30.049928665161133,73.74726867675781,,,,50.946189880371094,-114.06904602050781,50.946292877197266,-114.06892395019531,1.008811116218567,1.008811116218567,1.008811116218567,227,,,,576574,273959,
15:15:00.000-04:00,15:30:00.000-04:00,42.618858337402344,150.10391235351562,,,,50.9462776184082,-114.06950378417969,50.94636535644531,-114.06900024414062,,,,371,,,,137064,508145,
15:30:00.000-04:00,15:45:00.000-04:00,27.18144416809082,66.31096649169922,,,,50.94605255126953,-114.06929016113281,50.94631576538086,-114.06907653808594,,,,382,,,,,220513,
15:45:00.000-04:00,16:00:00.000-04:00,15.346352577209473,,,,,50.96392822265625,-114.07025146484375,50.979148864746094,-114.04854583740234,,,,11,,,,,,
16:00:00.000-04:00,16:15:00.000-04:00,15.346352577209473,,,,,51.01478958129883,-114.05372619628906,51.041133880615234,-114.0418930053711,9.529640197753906,18.62004280090332,1.0100494623184204,42,,,,,,
16:15:00.000-04:00,16:30:00.000-04:00,33.55070877075195,138.59275817871094,,,,51.041202545166016,-114.05547332763672,51.04214859008789,-114.05126190185547,1.0583518743515015,4.96999979019165,0.5793962478637695,449,,,,267140,339186,
16:30:00.000-04:00,16:45:00.000-04:00,61.764976501464844,669.8138427734375,,,,51.038360595703125,-114.05497741699219,51.04136276245117,-114.05330657958984,,,,832,,,,35122,864878,
16:45:00.000-04:00,17:00:00.000-04:00,20.961170196533203,135.035400390625,,,,51.03644561767578,-114.0560302734375,51.03929138183594,-114.05362701416016,,,,581,,,,544853,104616,
17:00:00.000-04:00,17:15:00.000-04:00,26.186229705810547,149.88839721679688,,,,51.03617477416992,-114.05623626708984,51.03644943237305,-114.05484008789062,0.7424333691596985,0.8570881485939026,0.5758472084999084,663,,,,,201970,
17:15:00.000-04:00,17:30:00.000-04:00,35.817386627197266,90.92839813232422,,,,51.036582946777344,-114.05767822265625,51.0366325378418,-114.0575942993164,,,,441,,,,518581,381419,
17:30:00.000-04:00,17:45:00.000-04:00,15.346352577209473,,,,,51.03657531738281,-114.05764770507812,51.03657531738281,-114.05764770507812,,,,32,,,,900000,,
17:45:00.000-04:00,18:00:00.000-04:00,15.346352577209473,,,,,,,,,,,,,,,,900000,,
18:00:00.000-04:00,18:15:00.000-04:00,26.5355167388916,109.29839324951172,,,,51.03648376464844,-114.0575180053711,51.03648376464844,-114.0575180053711,,,,278,,,,691522,208478,
18:15:00.000-04:00,18:30:00.000-04:00,31.580245971679688,176.2860107421875,,,,51.034515380859375,-114.05834197998047,51.03456115722656,-114.0579833984375,,,,525,,,,292717,302472,
18:30:00.000-04:00,18:45:00.000-04:00,39.09562683105469,308.539794921875,,,,51.03370666503906,-114.0583724975586,51.03447723388672,-114.05663299560547,2.632937431335449,5.425605773925781,0.5053711533546448,636,,,,55966,422548,
18:45:00.000-04:00,19:00:00.000-04:00,62.724342346191406,863.642822265625,,,,51.03388977050781,-114.05816650390625,51.03611755371094,-114.05582427978516,,,,1238,,,,,882753,
19:00:00.000-04:00,19:15:00.000-04:00,53.38182830810547,673.8262939453125,,,,51.03361892700195,-114.05821990966797,51.0362434387207,-114.05553436279297,8.670668601989746,24.052263259887695,0.5656853914260864,1047,,,,,708682,
19:15:00.000-04:00,19:30:00.000-04:00,51.854942321777344,733.738037109375,,,,51.0388298034668,-114.05546569824219,51.04235076904297,-114.05355072021484,,,,1188,,,,,680233,
19:30:00.000-04:00,19:45:00.000-04:00,15.346353530883789,,,,,51.04210662841797,-114.05825805664062,51.06480407714844,-114.01498413085938,12.44105052947998,23.130077362060547,0.5000999569892883,87,,,,,,
19:45:00.000-04:00,20:00:00.000-04:00,15.346353530883789,,,,,51.06785202026367,-114.04686737060547,51.13856506347656,-114.026611328125,10.972296714782715,22.420320510864258,4.661297798156738,30,,,,,,
20:00:00.000-04:00,20:15:00.000-04:00,15.346353530883789,,,,,51.131805419921875,-114.01102447509766,51.13522720336914,-114.00045013427734,8.297593116760254,15.350117683410645,0.8702298402786255,100,,,,,,
20:15:00.000-04:00,20:30:00.000-04:00,15.346353530883789,,,,,51.136531829833984,-114.10706329345703,51.176124572753906,-114.00054931640625,20.774311065673828,25.541324615478516,13.230059623718262,33,,,,,,
20:30:00.000-04:00,20:45:00.000-04:00,15.346353530883789,,,,,51.088687896728516,-114.32916259765625,51.15266036987305,-114.13304901123047,23.831491470336914,30.750001907348633,16.70809555053711,10,,,,,,
20:45:00.000-04:00,21:00:00.000-04:00,15.346353530883789,,,,,51.08733367919922,-114.66834259033203,51.121009826660156,-114.3798828125,29.879518508911133,32.19287109375,27.860017776489258,34,,,,,,
