Date,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Strength training duration (ms)
2015-09-06,1007.68798828125,,,,,,,,,,,,,,,,,,,,
2015-09-07,525.56201171875,,,,,,,,,,,,,,,,,,,,
2015-09-09,1007.68798828125,,,,,,,,,,,,,,,,,,,,
2015-09-10,1533.25,,,,,,,,,,,,,,,,,,,,
2015-09-11,1533.25,,,,,,,,,,,,,,,,,,,,
2015-09-12,1533.25,,,,,,,,,,,,,,,,,,,,
2015-09-13,1533.25,,,,,,,,,,,,,,,,,,,,
2015-09-14,1533.25,,,,,,,,,,,,,,,,,,,,
2015-09-15,1533.25,,,,,,,,,,,,,,,,,,,,
2015-09-16,1533.25,,,,,,,,,,,,,,,,,,,,
2015-09-17,1533.25,,,,,,,,,,,,,,,,,,,,
2015-09-18,1533.25,,,,,,,,,,,,,,,,,,,,
2015-09-19,1533.25,,,,,,,,,,,,,,,,,,,,
2015-09-20,1564.493408203125,82.11375427246094,,,,19.068540573120117,72.8281478881836,19.068729400634766,72.82836151123047,,,,1419,73.0,73.0,73.0,,55000418,167303,,
2015-09-21,1584.318603515625,390.2034912109375,,,,18.92527961730957,72.80786895751953,19.071138381958008,72.83203125,5.709243297576904,10.124228477478027,1.25,3465,,,,,71138524,861052,,
2015-09-22,1565.26171875,327.0020751953125,,,,19.06851577758789,72.82813262939453,19.069164276123047,72.828369140625,,,,2353,,,,,79676873,539741,,
2015-09-23,1629.296630859375,1500.294921875,,,,19.045974731445312,72.82120513916016,19.071361541748047,72.8284912109375,4.839734077453613,8.5,1.346291184425354,6324,,,,,70991499,1619412,,
2015-09-24,1662.7666015625,1025.3070068359375,,,,18.914703369140625,72.80776977539062,19.068721771240234,72.82926177978516,5.821884632110596,11.76063346862793,0.5,3107,,,,,69174306,2183737,,
2015-09-25,1709.80517578125,1712.02587890625,,,,19.050806045532227,54.64055633544922,24.432329177856445,72.8759994506836,7.112457275390625,8.050621032714844,5.75,5688,,,,,55682302,2663724,138242,
2015-09-26,1943.961669921875,4954.18896484375,,,,37.61389923095703,-122.43608093261719,37.80348587036133,-122.38890838623047,2.995187520980835,24.770193099975586,0.55901700258255,10874,,,,,31653666,6924880,,
2015-09-27,2153.68603515625,9184.5791015625,63.46651840209961,84.0,47.0,37.763755798339844,-122.51347351074219,37.79231643676758,-122.41281127929688,2.3952369689941406,7.25,0.5,16322,,,,,66269029,10457575,,
2015-09-28,2359.418212890625,8414.4033203125,79.95719909667969,94.0,48.0,37.76371383666992,-122.48799896240234,37.860130310058594,-122.39080810546875,2.236807346343994,9.5,0.55901700258255,17703,,,,,61132712,12922658,443784,
2015-09-29,2055.2763671875,5477.2392578125,,,,37.76367950439453,-122.45220184326172,37.793418884277344,-122.40424346923828,1.604001760482788,10.75,0.5,11625,,,,,70313847,8801723,,
2015-09-30,2211.376708984375,8106.96435546875,54.0,54.0,54.0,37.7635383605957,-122.44054412841797,37.80937957763672,-122.39344024658203,2.969446897506714,15.75,0.5,15826,,,,,70433717,10727130,311940,
2015-10-01,2651.162353515625,13674.9208984375,80.54069519042969,97.0,48.0,37.76101303100586,-122.43597412109375,37.80894088745117,-122.3935317993164,1.5502392053604126,7.905694007873535,0.5,25142,,,,632198,60607093,17586799,87035,
2015-10-02,2373.602294921875,9720.669921875,71.0,71.0,71.0,37.76076889038086,-122.43628692626953,37.8726921081543,-122.25763702392578,5.215207099914551,21.25,0.5,17734,,,,1294984,65505245,11772962,95128,
2015-10-03,1797.346435546875,2041.639892578125,,,,37.02053451538086,-122.4360122680664,37.76618957519531,-121.56119537353516,3.9525890350341797,36.50342559814453,0.5,9918,,,,,47806933,4452845,,
2015-10-04,2208.55712890625,5290.4384765625,,,,37.183876037597656,-122.51078033447266,37.82805633544922,-121.84365844726562,6.762502670288086,39.75,0.5,10614,,,,1689382,48472406,8127887,182406,
2015-10-05,2204.310546875,9578.716796875,93.0,125.0,61.0,37.318275451660156,-122.47056579589844,37.80707550048828,-121.95001220703125,2.567375421524048,34.67708206176758,0.5,17524,,,,,56227124,11051923,96596,
2015-10-06,2208.941650390625,9955.1787109375,,,,37.764095306396484,-122.44113159179688,37.808353424072266,-122.39347076416016,2.2538983821868896,11.0,0.5,17790,,,,,66840513,10869283,189435,
2015-10-07,2393.3681640625,10168.9052734375,48.0,48.0,48.0,37.7622184753418,-122.51078796386719,37.79354476928711,-122.3963394165039,2.932839870452881,18.0,0.5,19528,,,,,59506226,14135137,157795,
2015-10-08,2236.1162109375,5884.74951171875,,,,37.69098663330078,-122.4360122680664,37.80964279174805,-121.844482421875,2.350550413131714,17.00735092163086,0.5,12489,,,,1979389,62580294,7602570,404121,
2015-10-09,2826.739013671875,15879.1689453125,,,,37.760765075683594,-122.43632507324219,44.92247009277344,-93.25495910644531,1.5698052644729614,11.75,0.5,26637,,,,1836481,56428734,18304380,178763,
2015-10-10,2232.435546875,8309.4833984375,56.0,56.0,56.0,37.76033020019531,-122.449951171875,37.808170318603516,-122.38875579833984,2.5417990684509277,9.823441505432129,0.5,18296,,,,,59830568,11270123,228974,
2015-10-11,2098.600830078125,8289.3154296875,,,,37.76023483276367,-122.43594360351562,37.808345794677734,-122.38954162597656,1.1688579320907593,2.5,0.5,15230,,,,,73437426,9511247,,
2015-10-12,1632.869384765625,1092.298828125,,,,37.61696243286133,-122.43602752685547,37.76546859741211,-122.38187408447266,15.5,30.5,0.5,2482,,,,,78152656,1112860,250238,
2015-10-13,1718.4549560546875,2309.7392578125,,,,19.047536849975586,54.6446533203125,24.42801284790039,72.87458038330078,4.427338600158691,10.262187957763672,1.0,5827,,,,,73547695,3122684,,
2015-10-14,1584.9864501953125,293.13702392578125,,,,19.068496704101562,72.828125,19.06904411315918,72.82856750488281,3.25,3.25,3.25,2474,,,,,84989875,872315,,
